Ref,Val,Package,PosX,PosY,Rot,Side
"R205","1.5k","R_0402_1005Metric",14.386400,96.723200,90.000000,bottom
"R206","1.5k","R_0402_1005Metric",8.442800,97.231200,0.000000,bottom
"R207","1.5k","R_0402_1005Metric",12.252800,97.231200,0.000000,bottom
"R209","1.5k","R_0402_1005Metric",15.935800,97.231200,0.000000,bottom
"R212","10k","R_0603_1608Metric",69.875400,83.858100,0.000000,bottom
"R214","100k","R_0603_1608Metric",59.054500,68.719700,180.000000,bottom
"R215","100k","R_0603_1608Metric",69.938900,85.890100,0.000000,bottom
"R216","100k","R_0603_1608Metric",65.557400,71.729600,180.000000,bottom
"R218","4.7k","R_0603_1608Metric",74.548500,83.096100,0.000000,bottom
"R219","100k","R_0603_1608Metric",75.349100,80.466700,270.000000,bottom
"R220","100k","R_0603_1608Metric",87.947500,69.126100,270.000000,bottom
"R221","100k","R_0603_1608Metric",83.019900,75.272900,270.000000,bottom
"R248","100k","R_0603_1608Metric",79.273400,72.555100,270.000000,bottom
"R249","10k","R_0603_1608Metric",85.369400,71.920100,180.000000,bottom
"R250","4.7k","R_0603_1608Metric",82.918300,69.075300,90.000000,bottom
"U15","RFM9xBreakout","HOPERF_RFM9XW_SMD",70.281420,17.691100,270.000000,bottom
"U17","BQ25883RGER","QFN50P400X400X100-25N-D",54.063900,82.080100,270.000000,bottom
"Z200","CG0402MLU-05G","C_0402_1005Metric",79.029400,93.853000,0.000000,bottom
"Z201","CG0402MLU-05G","C_0402_1005Metric",77.048200,93.853000,180.000000,bottom
